Processes,Threads,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
3,8,512,512,100,10,row,1.65568,3.54666,2.96232
3,8,512,512,100,10,row,1.65171,3.33764,2.89484
3,12,512,512,100,10,row,1.27939,5.00406,3.92369
3,12,512,512,100,10,row,1.30568,5.07179,4.10332
3,12,512,512,100,10,row,1.30482,5.07628,3.83722
3,12,512,512,100,10,row,1.5098,5.01295,4.09188
3,12,512,512,100,10,row,1.61161,4.99843,4.13512
3,12,512,512,100,10,row,1.62563,4.96194,4.03743
3,12,512,512,100,10,row,1.54966,5.05981,3.95551
3,12,512,512,100,10,row,1.54298,5.05015,3.88666
3,12,512,512,100,10,row,1.63235,4.85846,3.71977
3,12,512,512,100,10,row,1.20385,5.01575,3.92394
3,12,512,512,100,10,row,1.27355,4.88233,3.90232
3,12,512,512,100,10,row,1.29078,4.91606,3.77915
3,12,512,512,100,10,row,1.27259,4.96687,3.91419
3,12,512,512,100,10,row,1.18839,4.91244,3.83236
3,12,512,512,100,10,row,1.20732,4.8607,3.70642
3,12,512,512,100,10,row,1.44554,5.00607,4.04783
3,12,512,512,100,10,row,1.53697,4.98618,4.03981
3,12,512,512,100,10,row,1.55872,5.13969,3.93389
3,12,512,512,100,10,row,0.98408,3.62353,2.88399
3,12,512,512,100,10,row,0.973029,3.53111,2.7953
5,1,512,512,100,10,row,10.8207,10.8207,10.8207
5,1,512,512,100,10,row,10.855,10.855,10.855
5,1,512,512,100,10,row,11.0071,11.0071,11.0071
5,1,512,512,100,10,row,11.0347,11.0347,11.0347
5,1,512,512,100,10,row,11.1036,11.1036,11.1036
5,1,512,512,100,10,row,11.0356,11.0356,11.0356
5,1,512,512,100,10,row,11.1872,11.1872,11.1872
5,1,512,512,100,10,row,11.2106,11.2106,11.2106
5,1,512,512,100,10,row,11.3169,11.3169,11.3169
5,1,512,512,100,10,row,11.4004,11.4004,11.4004
5,1,512,512,100,10,row,10.7826,10.7826,10.7826
5,1,512,512,100,10,row,10.7101,10.7101,10.7101
5,1,512,512,100,10,row,11.0046,11.0046,11.0046
5,1,512,512,100,10,row,10.8213,10.8213,10.8213
5,1,512,512,100,10,row,11.0141,11.0141,11.0141
5,1,512,512,100,10,row,11.0628,11.0628,11.0628
5,1,512,512,100,10,row,10.8723,10.8723,10.8723
5,1,512,512,100,10,row,10.9739,10.9739,10.9739
5,1,512,512,100,10,row,10.8027,10.8027,10.8027
5,1,512,512,100,10,row,11.0466,11.0466,11.0466
5,2,512,512,100,10,row,7.504,8.93216,8.21808
5,2,512,512,100,10,row,7.55514,8.99126,8.2732
5,2,512,512,100,10,row,7.44102,9.00742,8.22422
5,2,512,512,100,10,row,7.43251,9.03835,8.23543
5,2,512,512,100,10,row,7.49888,9.23685,8.36786
5,2,512,512,100,10,row,7.64168,9.07814,8.35991
5,2,512,512,100,10,row,7.61197,9.06549,8.33873
5,2,512,512,100,10,row,7.71306,9.11594,8.4145
5,2,512,512,100,10,row,7.63413,9.15707,8.3956
5,2,512,512,100,10,row,7.57093,9.11923,8.34508
5,2,512,512,100,10,row,7.71129,9.33965,8.52547
5,2,512,512,100,10,row,7.81934,9.31329,8.56632
5,2,512,512,100,10,row,7.79366,9.33388,8.56377
5,2,512,512,100,10,row,7.87072,9.36017,8.61544
5,2,512,512,100,10,row,7.82999,9.37797,8.60398
5,2,512,512,100,10,row,7.63226,9.15663,8.39445
5,2,512,512,100,10,row,7.66077,9.10483,8.3828
5,2,512,512,100,10,row,7.64865,9.1491,8.39887
5,2,512,512,100,10,row,7.61979,9.11564,8.36771
5,2,512,512,100,10,row,7.55668,9.04651,8.30159
5,4,512,512,100,10,row,4.51388,8.05293,5.75934
5,4,512,512,100,10,row,4.5586,8.16175,6.12816
5,4,512,512,100,10,row,4.54789,8.27908,6.60546
5,4,512,512,100,10,row,4.56022,8.47137,7.29153
5,4,512,512,100,10,row,4.51065,8.49319,7.35078
5,4,512,512,100,10,row,4.37391,8.1477,6.47024
5,4,512,512,100,10,row,4.38696,8.30727,5.87264
5,4,512,512,100,10,row,4.36995,8.06642,6.73524
5,4,512,512,100,10,row,4.42053,8.54128,6.67908
5,4,512,512,100,10,row,4.34518,8.80836,7.22352
5,4,512,512,100,10,row,3.56476,8.33973,6.19582
5,4,512,512,100,10,row,3.5411,8.42383,5.6172
5,4,512,512,100,10,row,3.48224,8.25653,6.2725
5,4,512,512,100,10,row,3.54572,8.48014,6.92239
5,4,512,512,100,10,row,3.49376,7.69232,6.42707
5,4,512,512,100,10,row,3.08573,7.46292,5.67554
5,4,512,512,100,10,row,5.20974,8.02067,6.9916
5,4,512,512,100,10,row,5.26059,7.94618,7.06438
5,4,512,512,100,10,row,5.22482,7.91415,7.09304
5,4,512,512,100,10,row,5.18937,8.22833,6.31463
5,8,512,512,100,10,row,4.58455,8.0633,6.42015
5,8,512,512,100,10,row,4.60709,8.20823,6.31586
5,8,512,512,100,10,row,4.77736,8.11235,6.46809
5,8,512,512,100,10,row,4.75787,8.0134,6.29423
5,8,512,512,100,10,row,4.71483,8.05505,6.10198
5,8,512,512,100,10,row,3.97783,7.85786,6.51251
5,8,512,512,100,10,row,4.6186,8.00567,6.64014
5,8,512,512,100,10,row,4.7414,8.23531,6.66999
5,8,512,512,100,10,row,4.71736,8.25298,6.75204
5,8,512,512,100,10,row,4.72058,9.58297,6.81894
5,8,512,512,100,10,row,4.39675,7.64893,5.95764
5,8,512,512,100,10,row,4.77493,7.30442,5.94685
5,8,512,512,100,10,row,2.31249,8.47501,5.8636
5,8,512,512,100,10,row,4.72931,8.47863,6.11895
5,8,512,512,100,10,row,3.94306,9.00635,5.7146
5,8,512,512,100,10,row,4.2661,7.85357,6.06306
5,8,512,512,100,10,row,4.39934,7.8395,5.75008
5,8,512,512,100,10,row,3.87602,8.38465,5.9965
5,8,512,512,100,10,row,4.33452,7.14232,5.52752
5,8,512,512,100,10,row,3.04907,5.09857,4.20814
5,12,512,512,100,10,row,2.20792,8.14859,6.4561
5,12,512,512,100,10,row,2.36334,8.27695,6.66129
5,12,512,512,100,10,row,2.23295,8.37142,6.57814
5,12,512,512,100,10,row,2.39159,8.01278,6.39537
5,12,512,512,100,10,row,2.44925,8.18774,6.47467
5,12,512,512,100,10,row,2.64832,8.03823,6.79708
5,12,512,512,100,10,row,2.55722,7.84487,6.62657
5,12,512,512,100,10,row,2.24095,8.25925,6.4095
5,12,512,512,100,10,row,2.64039,8.29505,6.60416
5,12,512,512,100,10,row,2.63852,8.39549,6.68868
5,12,512,512,100,10,row,2.16213,8.11167,6.24667
5,12,512,512,100,10,row,2.0782,8.20243,6.58789
5,12,512,512,100,10,row,2.18151,8.09462,6.35869
5,12,512,512,100,10,row,2.4081,7.27097,6.09681
5,12,512,512,100,10,row,2.40716,7.90372,6.27618
5,12,512,512,100,10,row,2.16778,7.85339,5.99656
5,12,512,512,100,10,row,2.10929,8.12367,6.42992
5,12,512,512,100,10,row,2.09934,8.22851,6.30016
5,12,512,512,100,10,row,2.1905,8.13184,6.54659
5,12,512,512,100,10,row,2.07798,7.40926,6.05512
7,1,512,512,100,10,row,13.1237,13.1237,13.1237
7,1,512,512,100,10,row,13.1599,13.1599,13.1599
7,1,512,512,100,10,row,13.1869,13.1869,13.1869
7,1,512,512,100,10,row,13.3762,13.3762,13.3762
7,1,512,512,100,10,row,13.3925,13.3925,13.3925
7,1,512,512,100,10,row,13.6918,13.6918,13.6918
7,1,512,512,100,10,row,13.8913,13.8913,13.8913
7,1,512,512,100,10,row,13.4706,13.4706,13.4706
7,1,512,512,100,10,row,13.5262,13.5262,13.5262
7,1,512,512,100,10,row,13.5889,13.5889,13.5889
7,1,512,512,100,10,row,13.5179,13.5179,13.5179
7,1,512,512,100,10,row,13.5182,13.5182,13.5182
